DateTime,kW
13/03/2021 05.15,0
13/03/2021 05.30,0
13/03/2021 05.45,0
13/03/2021 06.00,0
13/03/2021 06.15,0
13/03/2021 06.30,8
13/03/2021 06.45,96
13/03/2021 07.00,248
13/03/2021 07.15,416
13/03/2021 07.30,672
13/03/2021 07.45,944
13/03/2021 08.00,1240
13/03/2021 08.15,1584
13/03/2021 08.30,1936
13/03/2021 08.45,2288
13/03/2021 09.00,2608
13/03/2021 09.15,2832
13/03/2021 09.30,3192
13/03/2021 09.45,3472
13/03/2021 10.00,3712
13/03/2021 10.15,3920
13/03/2021 10.30,4112
13/03/2021 10.45,4272
13/03/2021 11.00,4416
13/03/2021 11.15,4528
13/03/2021 11.30,4664
13/03/2021 11.45,4736
13/03/2021 12.00,4768
13/03/2021 12.15,4760
13/03/2021 12.30,4808
13/03/2021 12.45,4736
13/03/2021 13.00,4704
13/03/2021 13.15,4640
13/03/2021 13.30,4576
13/03/2021 13.45,4448
13/03/2021 14.00,4312
13/03/2021 14.15,4152
13/03/2021 14.30,3936
13/03/2021 14.45,3712
13/03/2021 15.00,3472
13/03/2021 15.15,3216
13/03/2021 15.30,2912
13/03/2021 15.45,2616
13/03/2021 16.00,2288
13/03/2021 16.15,1952
13/03/2021 16.30,1608
13/03/2021 16.45,1280
13/03/2021 17.00,968
13/03/2021 17.15,696
13/03/2021 17.30,464
13/03/2021 17.45,272
13/03/2021 18.00,120
13/03/2021 18.15,8
13/03/2021 18.30,0
13/03/2021 18.45,0
13/03/2021 19.00,0
13/03/2021 19.15,0
13/03/2021 19.30,0
13/03/2021 19.45,0
13/03/2021 20.00,0
13/03/2021 20.15,0
13/03/2021 20.30,0
13/03/2021 20.45,0
13/03/2021 21.00,0
13/03/2021 21.15,0
13/03/2021 21.30,0
13/03/2021 21.45,0
13/03/2021 22.00,0
13/03/2021 22.15,0
13/03/2021 22.30,0
13/03/2021 22.45,0
13/03/2021 23.00,0
13/03/2021 23.15,0
13/03/2021 23.30,0
13/03/2021 23.45,0
13/03/2021 24.00,0
14/03/2021 00.15,0
14/03/2021 00.30,0
14/03/2021 00.45,0
14/03/2021 01.00,0
14/03/2021 01.15,0
14/03/2021 01.30,0
14/03/2021 01.45,0
14/03/2021 02.00,0
14/03/2021 02.15,0
14/03/2021 02.30,0
14/03/2021 02.45,0
14/03/2021 03.00,0
14/03/2021 03.15,0
14/03/2021 03.30,0
14/03/2021 03.45,0
14/03/2021 04.00,0
14/03/2021 04.15,0
14/03/2021 04.30,0
14/03/2021 04.45,0
14/03/2021 05.00,0
14/03/2021 05.15,0
14/03/2021 05.30,0
14/03/2021 05.45,0
14/03/2021 06.00,0
14/03/2021 06.15,0
14/03/2021 06.30,16
14/03/2021 06.45,128
14/03/2021 07.00,248
14/03/2021 07.15,432
14/03/2021 07.30,672
14/03/2021 07.45,960
14/03/2021 08.00,1296
14/03/2021 08.15,1632
14/03/2021 08.30,1968
14/03/2021 08.45,2304
14/03/2021 09.00,2592
14/03/2021 09.15,2928
14/03/2021 09.30,3256
14/03/2021 09.45,3536
14/03/2021 10.00,3792
14/03/2021 10.15,4000
14/03/2021 10.30,4184
14/03/2021 10.45,4352
14/03/2021 11.00,4480
14/03/2021 11.15,4600
14/03/2021 11.30,4672
14/03/2021 11.45,4720
14/03/2021 12.00,4752
14/03/2021 12.15,4808
14/03/2021 12.30,4768
14/03/2021 12.45,4712
14/03/2021 13.00,4648
14/03/2021 13.15,4560
14/03/2021 13.30,4440
14/03/2021 13.45,4312
14/03/2021 14.00,4152
14/03/2021 14.15,3976
14/03/2021 14.30,3792
14/03/2021 14.45,3552
14/03/2021 15.00,3296
14/03/2021 15.15,2992
14/03/2021 15.30,2744
14/03/2021 15.45,2456
14/03/2021 16.00,2144
14/03/2021 16.15,1824
14/03/2021 16.30,1528
14/03/2021 16.45,1208
14/03/2021 17.00,912
14/03/2021 17.15,656
14/03/2021 17.30,432
14/03/2021 17.45,256
14/03/2021 18.00,112
14/03/2021 18.15,0
14/03/2021 18.30,0
14/03/2021 18.45,0
14/03/2021 19.00,0
14/03/2021 19.15,0
14/03/2021 19.30,0
14/03/2021 19.45,0
14/03/2021 20.00,0
14/03/2021 20.15,0
14/03/2021 20.30,0
14/03/2021 20.45,0
14/03/2021 21.00,0
14/03/2021 21.15,0
14/03/2021 21.30,0
14/03/2021 21.45,0
14/03/2021 22.00,0
14/03/2021 22.15,0
14/03/2021 22.30,0
14/03/2021 22.45,0
14/03/2021 23.00,0
14/03/2021 23.15,0
14/03/2021 23.30,0
14/03/2021 23.45,0
14/03/2021 24.00,0
15/03/2021 00.15,0
15/03/2021 00.30,0
15/03/2021 00.45,0
15/03/2021 01.00,0
15/03/2021 01.15,0
15/03/2021 01.30,0
15/03/2021 01.45,0
15/03/2021 02.00,0
15/03/2021 02.15,0
15/03/2021 02.30,0
15/03/2021 02.45,0
15/03/2021 03.00,0
15/03/2021 03.15,0
15/03/2021 03.30,0
15/03/2021 03.45,0
15/03/2021 04.00,0
15/03/2021 04.15,0
15/03/2021 04.30,0
15/03/2021 04.45,0
15/03/2021 05.00,0
15/03/2021 05.15,0
15/03/2021 05.30,0
15/03/2021 05.45,0
15/03/2021 06.00,0
15/03/2021 06.15,0
15/03/2021 06.30,8
15/03/2021 06.45,80
15/03/2021 07.00,208
15/03/2021 07.15,376
15/03/2021 07.30,608
15/03/2021 07.45,880
15/03/2021 08.00,1128
15/03/2021 08.15,1424
15/03/2021 08.30,1672
15/03/2021 08.45,1936
15/03/2021 09.00,2248
15/03/2021 09.15,2496
15/03/2021 09.30,2816
15/03/2021 09.45,3088
15/03/2021 10.00,3312
15/03/2021 10.15,3600
15/03/2021 10.30,3776
15/03/2021 10.45,3920
15/03/2021 11.00,4080
15/03/2021 11.15,4208
15/03/2021 11.30,4288
15/03/2021 11.45,4336
15/03/2021 12.00,4368
15/03/2021 12.15,4400
15/03/2021 12.30,4416
15/03/2021 12.45,4376
15/03/2021 13.00,4352
15/03/2021 13.15,4288
15/03/2021 13.30,4160
15/03/2021 13.45,4064
15/03/2021 14.00,3952
15/03/2021 14.15,3792
15/03/2021 14.30,3616
15/03/2021 14.45,3384
15/03/2021 15.00,3176
15/03/2021 15.15,2888
15/03/2021 15.30,2640
15/03/2021 15.45,2392
15/03/2021 16.00,2064
15/03/2021 16.15,1768
15/03/2021 16.30,1456
15/03/2021 16.45,1152
15/03/2021 17.00,872
15/03/2021 17.15,624
15/03/2021 17.30,392
15/03/2021 17.45,232
15/03/2021 18.00,96
15/03/2021 18.15,0
15/03/2021 18.30,0
15/03/2021 18.45,0
15/03/2021 19.00,0
15/03/2021 19.15,0
15/03/2021 19.30,0
15/03/2021 19.45,0
15/03/2021 20.00,0
15/03/2021 20.15,0
15/03/2021 20.30,0
15/03/2021 20.45,0
15/03/2021 21.00,0
15/03/2021 21.15,0
15/03/2021 21.30,0
15/03/2021 21.45,0
15/03/2021 22.00,0
15/03/2021 22.15,0
15/03/2021 22.30,0
15/03/2021 22.45,0
15/03/2021 23.00,0
15/03/2021 23.15,0
15/03/2021 23.30,0
15/03/2021 23.45,0
15/03/2021 24.00,0
16/03/2021 00.15,0
16/03/2021 00.30,0
16/03/2021 00.45,0
16/03/2021 01.00,0
16/03/2021 01.15,0
16/03/2021 01.30,0
16/03/2021 01.45,0
16/03/2021 02.00,0
16/03/2021 02.15,0
16/03/2021 02.30,0
16/03/2021 02.45,0
16/03/2021 03.00,0
16/03/2021 03.15,0
16/03/2021 03.30,0
16/03/2021 03.45,0
16/03/2021 04.00,0
16/03/2021 04.15,0
16/03/2021 04.30,0
16/03/2021 04.45,0
16/03/2021 05.00,0
16/03/2021 05.15,0
16/03/2021 05.30,0
16/03/2021 05.45,0
16/03/2021 06.00,0
16/03/2021 06.15,0
16/03/2021 06.30,0
16/03/2021 06.45,48
16/03/2021 07.00,168
16/03/2021 07.15,272
16/03/2021 07.30,464
16/03/2021 07.45,744
16/03/2021 08.00,1008
16/03/2021 08.15,1296
16/03/2021 08.30,1528
16/03/2021 08.45,1424
16/03/2021 09.00,1552
16/03/2021 09.15,2304
16/03/2021 09.30,2472
16/03/2021 09.45,3112
16/03/2021 10.00,2528
16/03/2021 10.15,2864
16/03/2021 10.30,3240
16/03/2021 10.45,3320
16/03/2021 11.00,3576
16/03/2021 11.15,3008
16/03/2021 11.30,3688
16/03/2021 11.45,3912
16/03/2021 12.00,3032
16/03/2021 12.15,3200
16/03/2021 12.30,3936
16/03/2021 12.45,3920
16/03/2021 13.00,4112
16/03/2021 13.15,4112
16/03/2021 13.30,3920
16/03/2021 13.45,3680
16/03/2021 14.00,2552
16/03/2021 14.15,3616
16/03/2021 14.30,3344
16/03/2021 14.45,3040
16/03/2021 15.00,2952
16/03/2021 15.15,2688
16/03/2021 15.30,2480
16/03/2021 15.45,2184
16/03/2021 16.00,1576
16/03/2021 16.15,1224
16/03/2021 16.30,1424
16/03/2021 16.45,1168
16/03/2021 17.00,1064
16/03/2021 17.15,552
16/03/2021 17.30,296
16/03/2021 17.45,168
16/03/2021 18.00,64
16/03/2021 18.15,0
16/03/2021 18.30,0
16/03/2021 18.45,0
16/03/2021 19.00,0
16/03/2021 19.15,0
16/03/2021 19.30,0
16/03/2021 19.45,0
16/03/2021 20.00,0
16/03/2021 20.15,0
16/03/2021 20.30,0
16/03/2021 20.45,0
16/03/2021 21.00,0
16/03/2021 21.15,0
16/03/2021 21.30,0
16/03/2021 21.45,0
16/03/2021 22.00,0
16/03/2021 22.15,0
16/03/2021 22.30,0
16/03/2021 22.45,0
16/03/2021 23.00,0
16/03/2021 23.15,0
16/03/2021 23.30,0
16/03/2021 23.45,0
16/03/2021 24.00,0
17/03/2021 00.15,0
17/03/2021 00.30,0
17/03/2021 00.45,0
17/03/2021 01.00,0
17/03/2021 01.15,0
17/03/2021 01.30,0
17/03/2021 01.45,0
17/03/2021 02.00,0
17/03/2021 02.15,0
17/03/2021 02.30,0
17/03/2021 02.45,0
17/03/2021 03.00,0
17/03/2021 03.15,0
17/03/2021 03.30,0
17/03/2021 03.45,0
17/03/2021 04.00,0
17/03/2021 04.15,0
17/03/2021 04.30,0
17/03/2021 04.45,0
17/03/2021 05.00,0
17/03/2021 05.15,0
17/03/2021 05.30,0
17/03/2021 05.45,0
17/03/2021 06.00,0
17/03/2021 06.15,0
17/03/2021 06.30,16
17/03/2021 06.45,88
17/03/2021 07.00,160
17/03/2021 07.15,336
17/03/2021 07.30,568
17/03/2021 07.45,824
17/03/2021 08.00,1120
17/03/2021 08.15,1384
17/03/2021 08.30,1672
17/03/2021 08.45,1968
17/03/2021 09.00,2304
17/03/2021 09.15,2544
17/03/2021 09.30,2824
17/03/2021 09.45,3128
17/03/2021 10.00,3328
17/03/2021 10.15,3496
17/03/2021 10.30,3664
17/03/2021 10.45,3872
17/03/2021 11.00,3992
17/03/2021 11.15,4144
17/03/2021 11.30,4176
17/03/2021 11.45,4248
17/03/2021 12.00,4272
17/03/2021 12.15,4312
17/03/2021 12.30,4000
17/03/2021 12.45,2984
17/03/2021 13.00,3752
17/03/2021 13.15,3136
17/03/2021 13.30,2448
17/03/2021 13.45,3632
17/03/2021 14.00,2768
17/03/2021 14.15,3576
17/03/2021 14.30,3344
17/03/2021 14.45,3240
17/03/2021 15.00,2752
17/03/2021 15.15,2768
17/03/2021 15.30,2688
17/03/2021 15.45,2440
17/03/2021 16.00,2056
17/03/2021 16.15,1688
17/03/2021 16.30,1360
17/03/2021 16.45,1160
17/03/2021 17.00,992
17/03/2021 17.15,560
17/03/2021 17.30,184
17/03/2021 17.45,72
17/03/2021 18.00,72
17/03/2021 18.15,0
17/03/2021 18.30,0
17/03/2021 18.45,0
17/03/2021 19.00,0
17/03/2021 19.15,0
17/03/2021 19.30,0
17/03/2021 19.45,0
17/03/2021 20.00,0
17/03/2021 20.15,0
17/03/2021 20.30,0
17/03/2021 20.45,0
17/03/2021 21.00,0
17/03/2021 21.15,0
17/03/2021 21.30,0
17/03/2021 21.45,0
17/03/2021 22.00,0
17/03/2021 22.15,0
17/03/2021 22.30,0
17/03/2021 22.45,0
17/03/2021 23.00,0
17/03/2021 23.15,0
17/03/2021 23.30,0
17/03/2021 23.45,0
17/03/2021 24.00,0
18/03/2021 00.15,0
18/03/2021 00.30,0
18/03/2021 00.45,0
18/03/2021 01.00,0
18/03/2021 01.15,0
18/03/2021 01.30,0
18/03/2021 01.45,0
18/03/2021 02.00,0
18/03/2021 02.15,0
18/03/2021 02.30,0
18/03/2021 02.45,0
18/03/2021 03.00,0
18/03/2021 03.15,0
18/03/2021 03.30,0
18/03/2021 03.45,0
18/03/2021 04.00,0
18/03/2021 04.15,0
18/03/2021 04.30,0
18/03/2021 04.45,0
18/03/2021 05.00,0
18/03/2021 05.15,0
18/03/2021 05.30,0
18/03/2021 05.45,0
18/03/2021 06.00,0
18/03/2021 06.15,0
18/03/2021 06.30,16
18/03/2021 06.45,128
18/03/2021 07.00,288
18/03/2021 07.15,472
18/03/2021 07.30,592
18/03/2021 07.45,704
18/03/2021 08.00,920
18/03/2021 08.15,1328
18/03/2021 08.30,1824
18/03/2021 08.45,2208
18/03/2021 09.00,2592
18/03/2021 09.15,3008
18/03/2021 09.30,3424
18/03/2021 09.45,2608
18/03/2021 10.00,1944
18/03/2021 10.15,3232
18/03/2021 10.30,3872
18/03/2021 10.45,4080
18/03/2021 11.00,4168
18/03/2021 11.15,4240
18/03/2021 11.30,4320
18/03/2021 11.45,4384
18/03/2021 12.00,3680
18/03/2021 12.15,1584
18/03/2021 12.30,1264
18/03/2021 12.45,1472
18/03/2021 13.00,2616
18/03/2021 13.15,3392
18/03/2021 13.30,3752
18/03/2021 13.45,3664
18/03/2021 14.00,3784
18/03/2021 14.15,3432
18/03/2021 14.30,2320
18/03/2021 14.45,2208
18/03/2021 15.00,1264
18/03/2021 15.15,1008
18/03/2021 15.30,1264
18/03/2021 15.45,1800
18/03/2021 16.00,1904
18/03/2021 16.15,1048
18/03/2021 16.30,752
18/03/2021 16.45,1184
18/03/2021 17.00,1456
18/03/2021 17.15,1232
18/03/2021 17.30,864
18/03/2021 17.45,432
18/03/2021 18.00,160
18/03/2021 18.15,0
18/03/2021 18.30,0
18/03/2021 18.45,0
18/03/2021 19.00,0
18/03/2021 19.15,0
18/03/2021 19.30,0
18/03/2021 19.45,0
18/03/2021 20.00,0
18/03/2021 20.15,0
18/03/2021 20.30,0
18/03/2021 20.45,0
18/03/2021 21.00,0
18/03/2021 21.15,0
18/03/2021 21.30,0
18/03/2021 21.45,0
18/03/2021 22.00,0
18/03/2021 22.15,0
18/03/2021 22.30,0
18/03/2021 22.45,0
18/03/2021 23.00,0
18/03/2021 23.15,0
18/03/2021 23.30,0
18/03/2021 23.45,0
18/03/2021 24.00,0
19/03/2021 00.15,0
19/03/2021 00.30,0
19/03/2021 00.45,0
19/03/2021 01.00,0
19/03/2021 01.15,0
19/03/2021 01.30,0
19/03/2021 01.45,0
19/03/2021 02.00,0
19/03/2021 02.15,0
19/03/2021 02.30,0
19/03/2021 02.45,0
19/03/2021 03.00,0
19/03/2021 03.15,0
19/03/2021 03.30,0
19/03/2021 03.45,0
19/03/2021 04.00,0
19/03/2021 04.15,0
19/03/2021 04.30,0
19/03/2021 04.45,0
19/03/2021 05.00,0
19/03/2021 05.15,0
19/03/2021 05.30,0
19/03/2021 05.45,0
19/03/2021 06.00,0
19/03/2021 06.15,0
19/03/2021 06.30,16
19/03/2021 06.45,80
19/03/2021 07.00,152
19/03/2021 07.15,304
19/03/2021 07.30,680
19/03/2021 07.45,944
19/03/2021 08.00,1216
19/03/2021 08.15,1536
19/03/2021 08.30,1840
19/03/2021 08.45,2168
19/03/2021 09.00,2432
19/03/2021 09.15,2768
19/03/2021 09.30,3048
19/03/2021 09.45,3304
19/03/2021 10.00,3528
19/03/2021 10.15,3720
19/03/2021 10.30,3896
19/03/2021 10.45,4088
19/03/2021 11.00,4184
19/03/2021 11.15,4080
19/03/2021 11.30,4424
19/03/2021 11.45,4464
19/03/2021 12.00,4136
19/03/2021 12.15,4144
19/03/2021 12.30,2248
19/03/2021 12.45,3184
19/03/2021 13.00,4096
19/03/2021 13.15,3328
19/03/2021 13.30,3800
19/03/2021 13.45,2472
19/03/2021 14.00,1968
19/03/2021 14.15,2304
19/03/2021 14.30,2328
19/03/2021 14.45,2288
19/03/2021 15.00,2976
19/03/2021 15.15,3024
19/03/2021 15.30,2616
19/03/2021 15.45,2200
19/03/2021 16.00,2104
19/03/2021 16.15,1824
19/03/2021 16.30,1568
19/03/2021 16.45,1248
19/03/2021 17.00,864
19/03/2021 17.15,296
19/03/2021 17.30,176
19/03/2021 17.45,160
19/03/2021 18.00,48
19/03/2021 18.15,0
19/03/2021 18.30,0
19/03/2021 18.45,0
19/03/2021 19.00,0
19/03/2021 19.15,0
19/03/2021 19.30,0
19/03/2021 19.45,0
19/03/2021 20.00,0
19/03/2021 20.15,0
19/03/2021 20.30,0
19/03/2021 20.45,0
19/03/2021 21.00,0
19/03/2021 21.15,0
19/03/2021 21.30,0
19/03/2021 21.45,0
19/03/2021 22.00,0
19/03/2021 22.15,0
19/03/2021 22.30,0
19/03/2021 22.45,0
19/03/2021 23.00,0
19/03/2021 23.15,0
19/03/2021 23.30,0
19/03/2021 23.45,0
19/03/2021 24.00,0
20/03/2021 00.15,0
20/03/2021 00.30,0
20/03/2021 00.45,0
20/03/2021 01.00,0
20/03/2021 01.15,0
20/03/2021 01.30,0
20/03/2021 01.45,0
20/03/2021 02.00,0
20/03/2021 02.15,0
20/03/2021 02.30,0
20/03/2021 02.45,0
20/03/2021 03.00,0
20/03/2021 03.15,0
20/03/2021 03.30,0
20/03/2021 03.45,0
20/03/2021 04.00,0
20/03/2021 04.15,0
20/03/2021 04.30,0
20/03/2021 04.45,0
20/03/2021 05.00,0
20/03/2021 05.15,0
20/03/2021 05.30,0
20/03/2021 05.45,0
20/03/2021 06.00,0
20/03/2021 06.15,0
20/03/2021 06.30,16
20/03/2021 06.45,112
20/03/2021 07.00,248
20/03/2021 07.15,416
20/03/2021 07.30,624
20/03/2021 07.45,848
20/03/2021 08.00,1144
20/03/2021 08.15,1456
20/03/2021 08.30,1776
20/03/2021 08.45,2056
20/03/2021 09.00,2392
20/03/2021 09.15,2672
20/03/2021 09.30,2984
20/03/2021 09.45,3216
20/03/2021 10.00,3408
20/03/2021 10.15,3616
20/03/2021 10.30,3824
20/03/2021 10.45,3968
20/03/2021 11.00,4080
20/03/2021 11.15,4192
20/03/2021 11.30,4272
20/03/2021 11.45,4400
20/03/2021 12.00,4368
20/03/2021 12.15,4352
20/03/2021 12.30,4480
20/03/2021 12.45,3056
20/03/2021 13.00,2976
20/03/2021 13.15,3944
20/03/2021 13.30,2144
20/03/2021 13.45,1896
20/03/2021 14.00,2944
20/03/2021 14.15,2624
20/03/2021 14.30,1056
20/03/2021 14.45,1024
20/03/2021 15.00,912
20/03/2021 15.15,712
20/03/2021 15.30,680
20/03/2021 15.45,672
20/03/2021 16.00,688
20/03/2021 16.15,560
20/03/2021 16.30,488
20/03/2021 16.45,400
20/03/2021 17.00,232
20/03/2021 17.15,128
20/03/2021 17.30,72
20/03/2021 17.45,32
20/03/2021 18.00,32
20/03/2021 18.15,0
20/03/2021 18.30,0
20/03/2021 18.45,0
20/03/2021 19.00,0
20/03/2021 19.15,0
20/03/2021 19.30,0
20/03/2021 19.45,0
20/03/2021 20.00,0
20/03/2021 20.15,0
20/03/2021 20.30,0
20/03/2021 20.45,0
20/03/2021 21.00,0
20/03/2021 21.15,0
20/03/2021 21.30,0
20/03/2021 21.45,0
20/03/2021 22.00,0
20/03/2021 22.15,0
20/03/2021 22.30,0
20/03/2021 22.45,0
20/03/2021 23.00,0
20/03/2021 23.15,0
20/03/2021 23.30,0
20/03/2021 23.45,0
20/03/2021 24.00,0
21/03/2021 00.15,0
21/03/2021 00.30,0
21/03/2021 00.45,0
21/03/2021 01.00,0
21/03/2021 01.15,0
21/03/2021 01.30,0
21/03/2021 01.45,0
21/03/2021 02.00,0
21/03/2021 02.15,0
21/03/2021 02.30,0
21/03/2021 02.45,0
21/03/2021 03.00,0
21/03/2021 03.15,0
21/03/2021 03.30,0
21/03/2021 03.45,0
21/03/2021 04.00,0
21/03/2021 04.15,0
21/03/2021 04.30,0
21/03/2021 04.45,0
21/03/2021 05.00,0
21/03/2021 05.15,0
21/03/2021 05.30,0
21/03/2021 05.45,0
21/03/2021 06.00,0
21/03/2021 06.15,0
21/03/2021 06.30,24
21/03/2021 06.45,128
21/03/2021 07.00,288
21/03/2021 07.15,496
21/03/2021 07.30,696
21/03/2021 07.45,944
21/03/2021 08.00,1216
21/03/2021 08.15,1520
21/03/2021 08.30,1840
21/03/2021 08.45,2128
21/03/2021 09.00,2392
21/03/2021 09.15,2656
21/03/2021 09.30,2944
21/03/2021 09.45,3216
21/03/2021 10.00,3392
21/03/2021 10.15,3568
21/03/2021 10.30,3760
21/03/2021 10.45,3936
21/03/2021 11.00,4016
21/03/2021 11.15,4096
21/03/2021 11.30,4208
21/03/2021 11.45,4296
21/03/2021 12.00,4320
21/03/2021 12.15,4288
21/03/2021 12.30,4232
21/03/2021 12.45,4224
21/03/2021 13.00,4192
21/03/2021 13.15,4152
21/03/2021 13.30,3184
21/03/2021 13.45,2880
21/03/2021 14.00,3712
21/03/2021 14.15,1328
21/03/2021 14.30,1408
21/03/2021 14.45,3112
21/03/2021 15.00,2128
21/03/2021 15.15,752
21/03/2021 15.30,512
21/03/2021 15.45,424
21/03/2021 16.00,384
21/03/2021 16.15,456
21/03/2021 16.30,448
21/03/2021 16.45,480
21/03/2021 17.00,456
21/03/2021 17.15,160
21/03/2021 17.30,160
21/03/2021 17.45,40
21/03/2021 18.00,0
21/03/2021 18.15,0
21/03/2021 18.30,0
21/03/2021 18.45,0
21/03/2021 19.00,0
21/03/2021 19.15,0
21/03/2021 19.30,0
21/03/2021 19.45,0
21/03/2021 20.00,0
21/03/2021 20.15,0
21/03/2021 20.30,0
21/03/2021 20.45,0
21/03/2021 21.00,0
21/03/2021 21.15,0
21/03/2021 21.30,0
21/03/2021 21.45,0
21/03/2021 22.00,0
21/03/2021 22.15,0
21/03/2021 22.30,0
21/03/2021 22.45,0
21/03/2021 23.00,0
21/03/2021 23.15,0
21/03/2021 23.30,0
21/03/2021 23.45,0
21/03/2021 24.00,0
22/03/2021 00.15,0
22/03/2021 00.30,0
22/03/2021 00.45,0
22/03/2021 01.00,0
22/03/2021 01.15,0
22/03/2021 01.30,0
22/03/2021 01.45,0
22/03/2021 02.00,0
22/03/2021 02.15,0
22/03/2021 02.30,0
22/03/2021 02.45,0
22/03/2021 03.00,0
22/03/2021 03.15,0
22/03/2021 03.30,0
22/03/2021 03.45,0
22/03/2021 04.00,0
22/03/2021 04.15,0
22/03/2021 04.30,0
22/03/2021 04.45,0
22/03/2021 05.00,0
22/03/2021 05.15,0
22/03/2021 05.30,0
22/03/2021 05.45,0
22/03/2021 06.00,0
22/03/2021 06.15,0
22/03/2021 06.30,48
22/03/2021 06.45,152
22/03/2021 07.00,376
22/03/2021 07.15,488
22/03/2021 07.30,512
22/03/2021 07.45,616
22/03/2021 08.00,888
22/03/2021 08.15,1024
22/03/2021 08.30,1464
22/03/2021 08.45,1864
22/03/2021 09.00,2480
22/03/2021 09.15,2744
22/03/2021 09.30,2776
22/03/2021 09.45,3600
22/03/2021 10.00,4064
22/03/2021 10.15,4280
22/03/2021 10.30,4536
22/03/2021 10.45,4536
22/03/2021 11.00,3344
22/03/2021 11.15,3152
22/03/2021 11.30,3920
22/03/2021 11.45,3424
22/03/2021 12.00,4200
22/03/2021 12.15,4800
22/03/2021 12.30,3552
22/03/2021 12.45,2880
22/03/2021 13.00,3296
22/03/2021 13.15,3672
22/03/2021 13.30,4416
22/03/2021 13.45,4712
22/03/2021 14.00,4568
22/03/2021 14.15,4432
22/03/2021 14.30,4232
22/03/2021 14.45,4016
22/03/2021 15.00,3800
22/03/2021 15.15,3536
22/03/2021 15.30,3320
22/03/2021 15.45,2720
22/03/2021 16.00,1480
22/03/2021 16.15,2208
22/03/2021 16.30,1888
22/03/2021 16.45,1512
22/03/2021 17.00,1112
22/03/2021 17.15,824
22/03/2021 17.30,544
22/03/2021 17.45,328
22/03/2021 18.00,160
22/03/2021 18.15,8
22/03/2021 18.30,0
22/03/2021 18.45,0
22/03/2021 19.00,0
22/03/2021 19.15,0
22/03/2021 19.30,0
22/03/2021 19.45,0
22/03/2021 20.00,0
22/03/2021 20.15,0
22/03/2021 20.30,0
22/03/2021 20.45,0
22/03/2021 21.00,0
22/03/2021 21.15,0
22/03/2021 21.30,0
22/03/2021 21.45,0
22/03/2021 22.00,0
22/03/2021 22.15,0
22/03/2021 22.30,0
22/03/2021 22.45,0
22/03/2021 23.00,0
22/03/2021 23.15,0
22/03/2021 23.30,0
22/03/2021 23.45,0
22/03/2021 24.00,0
23/03/2021 00.15,0
23/03/2021 00.30,0
23/03/2021 00.45,0
23/03/2021 01.00,0
23/03/2021 01.15,0
23/03/2021 01.30,0
23/03/2021 01.45,0
23/03/2021 02.00,0
23/03/2021 02.15,0
23/03/2021 02.30,0
23/03/2021 02.45,0
23/03/2021 03.00,0
23/03/2021 03.15,0
23/03/2021 03.30,0
23/03/2021 03.45,0
23/03/2021 04.00,0
23/03/2021 04.15,0
23/03/2021 04.30,0
23/03/2021 04.45,0
23/03/2021 05.00,0
23/03/2021 05.15,0
23/03/2021 05.30,0
23/03/2021 05.45,0
23/03/2021 06.00,0
23/03/2021 06.15,0
23/03/2021 06.30,40
23/03/2021 06.45,168
23/03/2021 07.00,352
23/03/2021 07.15,576
23/03/2021 07.30,688
23/03/2021 07.45,896
23/03/2021 08.00,1424
23/03/2021 08.15,1424
23/03/2021 08.30,1584
23/03/2021 08.45,1648
23/03/2021 09.00,2720
23/03/2021 09.15,2944
23/03/2021 09.30,3752
23/03/2021 09.45,4064
23/03/2021 10.00,4288
23/03/2021 10.15,4544
23/03/2021 10.30,4768
23/03/2021 10.45,4912
23/03/2021 11.00,5040
23/03/2021 11.15,5176
23/03/2021 11.30,5248
23/03/2021 11.45,5336
23/03/2021 12.00,5360
23/03/2021 12.15,5392
23/03/2021 12.30,5384
23/03/2021 12.45,5344
23/03/2021 13.00,5272
23/03/2021 13.15,5136
23/03/2021 13.30,5024
23/03/2021 13.45,4872
23/03/2021 14.00,4696
23/03/2021 14.15,4528
23/03/2021 14.30,4344
23/03/2021 14.45,4104
23/03/2021 15.00,3856
23/03/2021 15.15,3560
23/03/2021 15.30,3248
23/03/2021 15.45,2936
23/03/2021 16.00,2640
23/03/2021 16.15,2288
23/03/2021 16.30,1928
23/03/2021 16.45,1568
23/03/2021 17.00,1216
23/03/2021 17.15,872
23/03/2021 17.30,576
23/03/2021 17.45,352
23/03/2021 18.00,160
23/03/2021 18.15,48
23/03/2021 18.30,0
23/03/2021 18.45,0
23/03/2021 19.00,0
23/03/2021 19.15,0
23/03/2021 19.30,0
23/03/2021 19.45,0
23/03/2021 20.00,0
23/03/2021 20.15,0
23/03/2021 20.30,0
23/03/2021 20.45,0
23/03/2021 21.00,0
23/03/2021 21.15,0
23/03/2021 21.30,0
23/03/2021 21.45,0
23/03/2021 22.00,0
23/03/2021 22.15,0
23/03/2021 22.30,0
23/03/2021 22.45,0
23/03/2021 23.00,0
23/03/2021 23.15,0
23/03/2021 23.30,0
23/03/2021 23.45,0
23/03/2021 24.00,0
24/03/2021 00.15,0
24/03/2021 00.30,0
24/03/2021 00.45,0
24/03/2021 01.00,0
24/03/2021 01.15,0
24/03/2021 01.30,0
24/03/2021 01.45,0
24/03/2021 02.00,0
24/03/2021 02.15,0
24/03/2021 02.30,0
