DateTime,kW
03/01/2021 11.45,5196
03/01/2021 12.00,5232
03/01/2021 12.15,5280
03/01/2021 12.30,5208
03/01/2021 12.45,5184
03/01/2021 13.00,5112
03/01/2021 13.15,5028
03/01/2021 13.30,4920
03/01/2021 13.45,4752
03/01/2021 14.00,4632
03/01/2021 14.15,4440
03/01/2021 14.30,4248
03/01/2021 14.45,3984
03/01/2021 15.00,3708
03/01/2021 15.15,3456
03/01/2021 15.30,3120
03/01/2021 15.45,2772
03/01/2021 16.00,2412
03/01/2021 16.15,2064
03/01/2021 16.30,1692
03/01/2021 16.45,1188
03/01/2021 17.00,792
03/01/2021 17.15,408
03/01/2021 17.30,156
03/01/2021 17.45,48
03/01/2021 18.00,0
03/01/2021 18.15,0
03/01/2021 18.30,0
03/01/2021 18.45,0
03/01/2021 19.00,0
03/01/2021 19.15,0
03/01/2021 19.30,0
03/01/2021 19.45,0
03/01/2021 20.00,0
03/01/2021 20.15,0
03/01/2021 20.30,0
03/01/2021 20.45,0
03/01/2021 21.00,0
03/01/2021 21.15,0
03/01/2021 21.30,0
03/01/2021 21.45,0
03/01/2021 22.00,0
03/01/2021 22.15,0
03/01/2021 22.30,0
03/01/2021 22.45,0
03/01/2021 23.00,0
03/01/2021 23.15,0
03/01/2021 23.30,0
03/01/2021 23.45,0
03/01/2021 24.00,0
04/01/2021 00.15,0
04/01/2021 00.30,0
04/01/2021 00.45,0
04/01/2021 01.00,0
04/01/2021 01.15,0
04/01/2021 01.30,0
04/01/2021 01.45,0
04/01/2021 02.00,0
04/01/2021 02.15,0
04/01/2021 02.30,0
04/01/2021 02.45,0
04/01/2021 03.00,0
04/01/2021 03.15,0
04/01/2021 03.30,0
04/01/2021 03.45,0
04/01/2021 04.00,0
04/01/2021 04.15,0
04/01/2021 04.30,0
04/01/2021 04.45,0
04/01/2021 05.00,0
04/01/2021 05.15,0
04/01/2021 05.30,0
04/01/2021 05.45,0
04/01/2021 06.00,0
04/01/2021 06.15,0
04/01/2021 06.30,0
04/01/2021 06.45,0
04/01/2021 07.00,48
04/01/2021 07.15,168
04/01/2021 07.30,276
04/01/2021 07.45,900
04/01/2021 08.00,1404
04/01/2021 08.15,1752
04/01/2021 08.30,2124
04/01/2021 08.45,2700
04/01/2021 09.00,2964
04/01/2021 09.15,3336
04/01/2021 09.30,3600
04/01/2021 09.45,3936
04/01/2021 10.00,4212
04/01/2021 10.15,4248
04/01/2021 10.30,4176
04/01/2021 10.45,4740
04/01/2021 11.00,5040
04/01/2021 11.15,4704
04/01/2021 11.30,4392
04/01/2021 11.45,4740
04/01/2021 12.00,5400
04/01/2021 12.15,5472
04/01/2021 12.30,5400
04/01/2021 12.45,5244
04/01/2021 13.00,4560
04/01/2021 13.15,4272
04/01/2021 13.30,4368
04/01/2021 13.45,4488
04/01/2021 14.00,4632
04/01/2021 14.15,4428
04/01/2021 14.30,4092
04/01/2021 14.45,3408
04/01/2021 15.00,3420
04/01/2021 15.15,3540
04/01/2021 15.30,3168
04/01/2021 15.45,2880
04/01/2021 16.00,2280
04/01/2021 16.15,2076
04/01/2021 16.30,1716
04/01/2021 16.45,1296
04/01/2021 17.00,936
04/01/2021 17.15,408
04/01/2021 17.30,156
04/01/2021 17.45,48
04/01/2021 18.00,0
04/01/2021 18.15,0
04/01/2021 18.30,0
04/01/2021 18.45,0
04/01/2021 19.00,0
04/01/2021 19.15,0
04/01/2021 19.30,0
04/01/2021 19.45,0
04/01/2021 20.00,0
04/01/2021 20.15,0
04/01/2021 20.30,0
04/01/2021 20.45,0
04/01/2021 21.00,0
04/01/2021 21.15,0
04/01/2021 21.30,0
04/01/2021 21.45,0
04/01/2021 22.00,0
04/01/2021 22.15,0
04/01/2021 22.30,0
04/01/2021 22.45,0
04/01/2021 23.00,0
04/01/2021 23.15,0
04/01/2021 23.30,0
04/01/2021 23.45,0
04/01/2021 24.00,0
05/01/2021 00.15,0
05/01/2021 00.30,0
05/01/2021 00.45,0
05/01/2021 01.00,0
05/01/2021 01.15,0
05/01/2021 01.30,0
05/01/2021 01.45,0
05/01/2021 02.00,0
05/01/2021 02.15,0
05/01/2021 02.30,0
05/01/2021 02.45,0
05/01/2021 03.00,0
05/01/2021 03.15,0
05/01/2021 03.30,0
05/01/2021 03.45,0
05/01/2021 04.00,0
05/01/2021 04.15,0
05/01/2021 04.30,0
05/01/2021 04.45,0
05/01/2021 05.00,0
05/01/2021 05.15,0
05/01/2021 05.30,0
05/01/2021 05.45,0
05/01/2021 06.00,0
05/01/2021 06.15,0
05/01/2021 06.30,0
05/01/2021 06.45,0
05/01/2021 07.00,48
05/01/2021 07.15,144
05/01/2021 07.30,276
05/01/2021 07.45,1020
05/01/2021 08.00,1560
05/01/2021 08.15,1968
05/01/2021 08.30,2340
05/01/2021 08.45,2736
05/01/2021 09.00,3072
05/01/2021 09.15,3360
05/01/2021 09.30,3660
05/01/2021 09.45,3912
05/01/2021 10.00,4152
05/01/2021 10.15,4344
05/01/2021 10.30,4488
05/01/2021 10.45,4656
05/01/2021 11.00,4800
05/01/2021 11.15,4848
05/01/2021 11.30,4968
05/01/2021 11.45,5016
05/01/2021 12.00,4992
05/01/2021 12.15,4992
05/01/2021 12.30,4944
05/01/2021 12.45,5004
05/01/2021 13.00,4980
05/01/2021 13.15,4884
05/01/2021 13.30,4788
05/01/2021 13.45,4656
05/01/2021 14.00,4512
05/01/2021 14.15,4332
05/01/2021 14.30,4104
05/01/2021 14.45,3852
05/01/2021 15.00,3636
05/01/2021 15.15,3384
05/01/2021 15.30,3072
05/01/2021 15.45,2748
05/01/2021 16.00,2412
05/01/2021 16.15,2028
05/01/2021 16.30,1668
05/01/2021 16.45,1248
05/01/2021 17.00,864
05/01/2021 17.15,384
05/01/2021 17.30,132
05/01/2021 17.45,48
05/01/2021 18.00,0
05/01/2021 18.15,0
05/01/2021 18.30,0
05/01/2021 18.45,0
05/01/2021 19.00,0
05/01/2021 19.15,0
05/01/2021 19.30,0
05/01/2021 19.45,0
05/01/2021 20.00,0
05/01/2021 20.15,0
05/01/2021 20.30,0
05/01/2021 20.45,0
05/01/2021 21.00,0
05/01/2021 21.15,0
05/01/2021 21.30,0
05/01/2021 21.45,0
05/01/2021 22.00,0
05/01/2021 22.15,0
05/01/2021 22.30,0
05/01/2021 22.45,0
05/01/2021 23.00,0
05/01/2021 23.15,0
05/01/2021 23.30,0
05/01/2021 23.45,0
05/01/2021 24.00,0
06/01/2021 00.15,0
06/01/2021 00.30,0
06/01/2021 00.45,0
06/01/2021 01.00,0
06/01/2021 01.15,0
06/01/2021 01.30,0
06/01/2021 01.45,0
06/01/2021 02.00,0
06/01/2021 02.15,0
06/01/2021 02.30,0
06/01/2021 02.45,0
06/01/2021 03.00,0
06/01/2021 03.15,0
06/01/2021 03.30,0
06/01/2021 03.45,0
06/01/2021 04.00,0
06/01/2021 04.15,0
06/01/2021 04.30,0
06/01/2021 04.45,0
06/01/2021 05.00,0
06/01/2021 05.15,0
06/01/2021 05.30,0
06/01/2021 05.45,0
06/01/2021 06.00,0
06/01/2021 06.15,0
06/01/2021 06.30,0
06/01/2021 06.45,0
06/01/2021 07.00,24
06/01/2021 07.15,120
06/01/2021 07.30,240
06/01/2021 07.45,1068
06/01/2021 08.00,1668
06/01/2021 08.15,2052
06/01/2021 08.30,2448
06/01/2021 08.45,2808
06/01/2021 09.00,3168
06/01/2021 09.15,3480
06/01/2021 09.30,3756
06/01/2021 09.45,4008
06/01/2021 10.00,4260
06/01/2021 10.15,4476
06/01/2021 10.30,4632
06/01/2021 10.45,4752
06/01/2021 11.00,4896
06/01/2021 11.15,4992
06/01/2021 11.30,5064
06/01/2021 11.45,5112
06/01/2021 12.00,5112
06/01/2021 12.15,5124
06/01/2021 12.30,5016
06/01/2021 12.45,5016
06/01/2021 13.00,5016
06/01/2021 13.15,4872
06/01/2021 13.30,4788
06/01/2021 13.45,4704
06/01/2021 14.00,4440
06/01/2021 14.15,3564
06/01/2021 14.30,3912
06/01/2021 14.45,3576
06/01/2021 15.00,3744
06/01/2021 15.15,3372
06/01/2021 15.30,3108
06/01/2021 15.45,2736
06/01/2021 16.00,2520
06/01/2021 16.15,2100
06/01/2021 16.30,1632
06/01/2021 16.45,1356
